file,samples,sample_rate,threads,balance,elapsed_us
data/50Hz/128smp@44100.dat,128,44100,1,2,624
data/50Hz/128smp@44100.dat,128,44100,1,2,541
data/50Hz/128smp@44100.dat,128,44100,1,2,804
data/50Hz/128smp@44100.dat,128,44100,1,4,850
data/50Hz/128smp@44100.dat,128,44100,1,4,861
data/50Hz/128smp@44100.dat,128,44100,1,4,872
data/50Hz/128smp@44100.dat,128,44100,1,8,938
data/50Hz/128smp@44100.dat,128,44100,1,8,906
data/50Hz/128smp@44100.dat,128,44100,1,8,927
data/50Hz/128smp@44100.dat,128,44100,1,16,1123
data/50Hz/128smp@44100.dat,128,44100,1,16,1143
data/50Hz/128smp@44100.dat,128,44100,1,16,1130
data/50Hz/128smp@44100.dat,128,44100,1,32,1447
data/50Hz/128smp@44100.dat,128,44100,1,32,1444
data/50Hz/128smp@44100.dat,128,44100,1,32,1415
data/50Hz/128smp@44100.dat,128,44100,1,64,2090
data/50Hz/128smp@44100.dat,128,44100,1,64,2001
data/50Hz/128smp@44100.dat,128,44100,1,64,2111
data/50Hz/128smp@44100.dat,128,44100,2,2,858
data/50Hz/128smp@44100.dat,128,44100,2,2,804
data/50Hz/128smp@44100.dat,128,44100,2,2,788
data/50Hz/128smp@44100.dat,128,44100,2,4,812
data/50Hz/128smp@44100.dat,128,44100,2,4,812
data/50Hz/128smp@44100.dat,128,44100,2,4,876
data/50Hz/128smp@44100.dat,128,44100,2,8,885
data/50Hz/128smp@44100.dat,128,44100,2,8,889
data/50Hz/128smp@44100.dat,128,44100,2,8,873
data/50Hz/128smp@44100.dat,128,44100,2,16,1013
data/50Hz/128smp@44100.dat,128,44100,2,16,1178
data/50Hz/128smp@44100.dat,128,44100,2,16,1104
data/50Hz/128smp@44100.dat,128,44100,2,32,1422
data/50Hz/128smp@44100.dat,128,44100,2,32,1455
data/50Hz/128smp@44100.dat,128,44100,2,32,1459
data/50Hz/128smp@44100.dat,128,44100,2,64,2166
data/50Hz/128smp@44100.dat,128,44100,2,64,2172
data/50Hz/128smp@44100.dat,128,44100,2,64,2100
data/50Hz/128smp@44100.dat,128,44100,4,2,844
data/50Hz/128smp@44100.dat,128,44100,4,2,814
data/50Hz/128smp@44100.dat,128,44100,4,2,842
data/50Hz/128smp@44100.dat,128,44100,4,4,839
data/50Hz/128smp@44100.dat,128,44100,4,4,847
data/50Hz/128smp@44100.dat,128,44100,4,4,847
data/50Hz/128smp@44100.dat,128,44100,4,8,907
data/50Hz/128smp@44100.dat,128,44100,4,8,884
